Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
6,Day3_1,Day3_1,2022,10,31,947,,5,5,1,0,Munkhchuluun,43.60092,102.69767,255,210,170,43.60092,102.69767,170,,1,,,2,,2,,5,,,,ibex,ibex,,,,,,,,,0,10.97060461
6,Day3_1,Day3_1,2022,10,31,1011,,2,2,1,0,Munkhchuluun,43.60347,102.69378,255,340,1074,43.60789,102.69485,,,,2,,,,,,2,,,,argali,argali,,,,,,,,,0,10.97060461
6,Day3_1,Day3_1,2022,10,31,1120,,5,5,1,0,Munkhchuluun,43.61155,102.697,31,60,333,43.61293,102.69739,,,,,,2,,3,,5,,,,ibex,ibex,,,,,,,,,0,10.97060461
6,Day3_1,Day3_1,2022,10,31,,1257,8,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.61921,102.70949,,ibex,1,,,,4,,,3,8,10.97060461
6,Day3_1,Day3_1,2022,10,31,,1257,19,,0,1,,,,,,,,,,,,,,,,,,0,Dorjsuren,43.61921,102.70949,,argali,,1,1,1,10,,,6,19,10.97060461
6,Day3_2,Day3_2,2022,10,30,1031,,2,2,1,0,Nyamsuren,43.56369,102.65961,20,150,70,43.56367,102.65996,10,,,,2,,,,,2,,,,ibex,ibex,,,,,,,,,0,17.1838821
6,Day3_2,Day3_2,2022,10,30,1015,,5,5,1,1,Nyamsuren,43.56427,102.66116,30,320,400,43.56427,102.66116,400,,,,3,1,,1,,5,jargalsaikhan,43.56409,102.66071,ibex,ibex,,,2,3,,,,,5,17.1838821
6,Day3_2,Day3_2,2022,10,30,1413,,24,24,1,0,Nyamsuren,43.56233,102.70374,90,45,200,43.56284,102.70602,50,,2,1,1,10,2,8,,24,,,,ibex,ibex,,,,,,,,,0,17.1838821
6,Day3_2,Day3_2,2022,10,30,1440,,2,2,1,0,Nyamsuren,43.56256,102.71043,70,190,500,43.56256,102.71043,500,,,,,1,,1,,2,,,,ibex,ibex,,,,,,,,,0,17.1838821
6,Day3_2,Day3_2,2022,10,30,,1100,2,,0,1,,,,,,,,,,,,,,,,,,0,jargalsaikhan,43.56444,102.66316,,ibex,,,,2,,,,,2,17.1838821
6,Day3_2,Day3_2,2022,10,30,,1250,2,,0,1,,,,,,,,,,,,,,,,,,0,jargalsaikhan,43.55819,102.68416,,ibex,,,,,1,,1,,2,17.1838821
6,Day3_2,Day3_2,2022,10,30,,1548,9,,0,1,,,,,,,,,,,,,,,,,,0,jargalsaikhan,43.56792,102.71531,,ibex,,,,,4,2,3,,9,17.1838821
6,Day3_2,Day3_2,2022,10,30,,1640,4,,0,1,,,,,,,,,,,,,,,,,,0,jargalsaikhan,43.57491,102.72781,,ibex,,,2,2,,,,,4,17.1838821
6,Day3_3,Day3_3,2022,10,30,1154,1156,3,3,1,1,Enkhburen,43.57904,102.79829,270,60,300,43.57904,102.79829,300,,1,,,1,,1,,3,Dorjsuren,43.57904,102.79995,argali,argali,,1,,,2,,,,3,12.53937808
6,Day3_3,Day3_3,2022,10,30,1321,,7,7,1,0,Enkhburen,43.57104,102.77174,200,80,400,43.57104,102.77174,400,1,2,1,1,1,,1,,7,,,,ibex,ibex,,,,,,,,,0,12.53937808
